operator,label,parameter_count,fits,total_runtime_hours,mean_runtime_seconds,maximum_peak_gpu_memory_gib,equal_site_curve_balanced_accuracy,curve_minus_elastic_net
gcn,GCN,5889,2664,15.091072461890468,20.393341164716848,0.3731212615966797,0.5945244936003954,-0.04558221996488443
trivial_bundle,Trivial-bundle diffusion,5889,2664,25.988894977555884,35.120128348048496,0.3769073486328125,0.591133782877679,-0.04897293068760078
learned_bunn,Learned BuNN,8529,2664,31.13729947972561,42.07743172935893,0.3779268264770508,0.5849458433301424,-0.05516087023513738
